State,District,Latitude,Longitude,District code,State name,Population,Male_Literate,Female_Literate,sex_ratio,literacy_rate
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,KARNATAKA,2678980,1006024,807367,984.0,68.0
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,KARNATAKA,1177361,465704,460725,1094.0,79.0
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,KERALA,2127789,890552,962245,1100.0,87.0
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,KERALA,3282388,1425723,1429953,1027.0,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,KERALA,1108974,471881,451129,1006.0,83.0
Kerala,Kannur,11.941523076923056,75.35209891725934,589,KERALA,2523003,1012956,1125478,1136.0,85.0
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,KERALA,1307375,516476,521016,1080.0,79.0
Kerala,Kollam,8.929388820570157,76.6360775852431,600,KERALA,2635375,1074345,1165928,1113.0,85.0
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,KERALA,1974551,861592,888206,1039.0,89.0
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,KERALA,3086293,1266939,1348504,1098.0,85.0
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,KERALA,4112920,1597404,1713911,1098.0,81.0
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,KERALA,2809934,1122600,1116892,1067.0,80.0
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,KERALA,3301427,1354857,1430551,1087.0,84.0
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,KERALA,3121200,1282261,1396287,1108.0,86.0
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,KERALA,817420,328136,317449,1035.0,79.0
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,MADHYA PRADESH,749237,254120,182475,976.0,58.0
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,MADHYA PRADESH,845071,290304,178805,904.0,56.0
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,MADHYA PRADESH,1701698,626468,521155,1021.0,67.0
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,MADHYA PRADESH,1385881,313642,236284,982.0,40.0
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,MADHYA PRADESH,1575362,529783,409986,971.0,60.0
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,MADHYA PRADESH,1703005,676513,418404,837.0,64.0
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,MADHYA PRADESH,2371061,920314,740376,918.0,70.0
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,MADHYA PRADESH,757847,233073,175606,951.0,54.0
